"code_module" "code_presentation" "id_student" "gender" "region" "highest_education" "imd_band" "age_band" "num_of_prev_attempts" "studied_credits" "disability" "final_result" "score_exam" "wscore_tmas" "wscore_cmas" "sum_click_total"
"AAA" "2013J" 146188 "F" "West Midlands Region" "A Level or Equivalent" "20-30%" "0-35" 0 60 "Y" "Fail" NA 48.8 NA 597
"AAA" "2013J" 1465690 "M" "West Midlands Region" "HE Qualification" "40-50%" "35-55" 0 120 "N" "Pass" NA 80.9 NA 3460
"AAA" "2013J" 1472925 "F" "East Anglian Region" "Lower Than A Level" "40-50%" "35-55" 0 60 "Y" "Fail" NA 62.2 NA 939
"AAA" "2013J" 147756 "M" "North Region" "Lower Than A Level" "60-70%" "0-35" 0 120 "N" "Fail" NA 51.3 NA 611
"AAA" "2013J" 1488959 "M" "London Region" "A Level or Equivalent" "70-80%" "35-55" 0 60 "N" "Pass" NA 60.2 NA 3493
"AAA" "2013J" 151358 "F" "London Region" "A Level or Equivalent" "80-90%" "0-35" 0 150 "N" "Pass" NA 49.6 NA 270
"AAA" "2013J" 1518989 "F" "South East Region" "Lower Than A Level" "80-90%" "35-55" 0 60 "N" "Pass" NA 72.2 NA 4202
"AAA" "2013J" 155550 "M" "London Region" "A Level or Equivalent" "0-10%" "35-55" 0 420 "N" "Pass" NA 66 NA 1529
"AAA" "2013J" 155854 "F" "East Midlands Region" "A Level or Equivalent" "20-30%" "35-55" 0 60 "N" "Pass" NA 79.4 NA 4003
"AAA" "2013J" 157568 "F" "South West Region" "A Level or Equivalent" "90-100%" "0-35" 0 60 "N" "Pass" NA 68.6 NA 1405
"AAA" "2013J" 1618738 "M" "London Region" "Lower Than A Level" "90-100%" "35-55" 0 60 "N" "Pass" NA 77.9 NA 723
"AAA" "2013J" 1620151 "M" "South Region" "HE Qualification" "90-100%" "35-55" 0 60 "N" "Fail" NA 22.5 NA 998
"AAA" "2013J" 1626710 "M" "North Western Region" "A Level or Equivalent" "60-70%" "35-55" 0 60 "N" "Distinction" NA 84.9 NA 6025
"AAA" "2013J" 1640609 "M" "West Midlands Region" "A Level or Equivalent" "30-40%" "35-55" 0 60 "N" "Pass" NA 85.3 NA 5061
"AAA" "2013J" 164259 "M" "Scotland" "A Level or Equivalent" "70-80%" "0-35" 0 60 "N" "Pass" NA 70.4 NA 466
"AAA" "2013J" 167906 "F" "Yorkshire Region" "A Level or Equivalent" "40-50%" "35-55" 0 60 "N" "Pass" NA 70.9 NA 1510
"AAA" "2013J" 168936 "F" "West Midlands Region" "Lower Than A Level" "10-20" "35-55" 0 60 "N" "Pass" NA 64.9 NA 745
"AAA" "2013J" 172112 "M" "Ireland" "HE Qualification" "" "35-55" 0 60 "N" "Pass" NA 71.1 NA 1939
"AAA" "2013J" 172797 "F" "Ireland" "A Level or Equivalent" "" "35-55" 0 60 "N" "Pass" NA 61.4 NA 1782
"AAA" "2013J" 1729319 "F" "Scotland" "HE Qualification" "40-50%" "35-55" 0 60 "N" "Pass" NA 77.5 NA 2756
"AAA" "2013J" 1746134 "M" "East Anglian Region" "A Level or Equivalent" "60-70%" "35-55" 0 60 "N" "Pass" NA 84 NA 1759
"AAA" "2013J" 174782 "M" "East Anglian Region" "HE Qualification" "90-100%" "55<=" 0 60 "N" "Pass" NA 80.1 NA 6318
"AAA" "2013J" 175392 "M" "North Region" "HE Qualification" "" "35-55" 0 60 "N" "Pass" NA 81.7 NA 4447
"AAA" "2013J" 175932 "M" "North Western Region" "HE Qualification" "70-80%" "35-55" 0 60 "N" "Pass" NA 78.8 NA 2016
"AAA" "2013J" 175991 "F" "North Western Region" "A Level or Equivalent" "80-90%" "0-35" 0 180 "N" "Fail" NA 36 NA 138
"AAA" "2013J" 1765788 "M" "South East Region" "HE Qualification" "70-80%" "55<=" 0 60 "N" "Pass" NA 67.5 NA 7057
"AAA" "2013J" 1801229 "M" "Ireland" "HE Qualification" "" "35-55" 0 60 "N" "Pass" NA 76.7 NA 1443
"AAA" "2013J" 1801641 "M" "Scotland" "A Level or Equivalent" "30-40%" "35-55" 0 60 "N" "Pass" NA 77.8 NA 459
"AAA" "2013J" 180753 "M" "South West Region" "A Level or Equivalent" "30-40%" "0-35" 0 120 "N" "Pass" NA 51.7 NA 2012
"AAA" "2013J" 183096 "F" "South West Region" "A Level or Equivalent" "60-70%" "0-35" 0 60 "N" "Pass" NA 54 NA 1975
"AAA" "2013J" 183947 "M" "London Region" "A Level or Equivalent" "10-20" "0-35" 0 180 "N" "Pass" NA 46.6 NA 964
"AAA" "2013J" 184271 "M" "South West Region" "HE Qualification" "80-90%" "35-55" 0 170 "N" "Pass" NA 58.7 NA 1312
"AAA" "2013J" 1847830 "M" "South West Region" "Lower Than A Level" "40-50%" "35-55" 0 60 "N" "Pass" NA 69.1 NA 6518
"AAA" "2013J" 185439 "M" "London Region" "HE Qualification" "10-20" "0-35" 0 120 "N" "Fail" NA 7.4 NA 427
"AAA" "2013J" 1860318 "M" "South West Region" "Lower Than A Level" "40-50%" "35-55" 0 300 "Y" "Pass" NA 62.8 NA 5975
"AAA" "2013J" 186149 "M" "Scotland" "HE Qualification" "30-40%" "35-55" 0 60 "N" "Pass" NA 75.6 NA 2136
"AAA" "2013J" 187100 "M" "South East Region" "A Level or Equivalent" "50-60%" "35-55" 0 60 "N" "Distinction" NA 89.4 NA 8562
"AAA" "2013J" 1889511 "M" "Yorkshire Region" "A Level or Equivalent" "50-60%" "35-55" 0 60 "N" "Pass" NA 71.2 NA 1754
"AAA" "2013J" 1889577 "F" "South Region" "A Level or Equivalent" "70-80%" "35-55" 0 60 "Y" "Pass" NA 73.2 NA 931
"AAA" "2013J" 1894188 "F" "East Midlands Region" "A Level or Equivalent" "80-90%" "0-35" 0 60 "N" "Pass" NA 69.7 NA 4294
"AAA" "2013J" 189879 "M" "Scotland" "A Level or Equivalent" "90-100%" "0-35" 0 120 "N" "Pass" NA 78.8 NA 1541
"AAA" "2013J" 192183 "F" "South West Region" "Lower Than A Level" "90-100%" "0-35" 0 60 "N" "Pass" NA 66.7 NA 3219
"AAA" "2013J" 1938355 "M" "South Region" "A Level or Equivalent" "90-100%" "35-55" 0 60 "N" "Pass" NA 71.2 NA 1992
"AAA" "2013J" 1942396 "F" "East Anglian Region" "Lower Than A Level" "40-50%" "35-55" 0 120 "Y" "Pass" NA 54.9 NA 470
"AAA" "2013J" 1976139 "M" "Ireland" "Lower Than A Level" "50-60%" "35-55" 0 120 "N" "Pass" NA 50.3 NA 1216
"AAA" "2013J" 200860 "M" "London Region" "Lower Than A Level" "50-60%" "35-55" 0 60 "N" "Pass" NA 50.8 NA 534
"AAA" "2013J" 2011876 "F" "East Anglian Region" "A Level or Equivalent" "90-100%" "0-35" 0 60 "Y" "Pass" NA 75.6 NA 1401
"AAA" "2013J" 2012966 "M" "North Western Region" "Lower Than A Level" "30-40%" "35-55" 0 60 "N" "Pass" NA 79.1 NA 519
"AAA" "2013J" 2051699 "F" "South West Region" "Lower Than A Level" "70-80%" "35-55" 0 60 "N" "Pass" NA 67.3 NA 1734
"AAA" "2013J" 205350 "M" "South West Region" "HE Qualification" "80-90%" "35-55" 0 60 "N" "Pass" NA 72.2 NA 1665
"AAA" "2013J" 205719 "M" "East Anglian Region" "A Level or Equivalent" "40-50%" "0-35" 0 90 "Y" "Fail" NA 27.3 NA 333
"AAA" "2013J" 2062879 "F" "East Anglian Region" "A Level or Equivalent" "60-70%" "0-35" 0 60 "N" "Fail" NA 62.1 NA 2386
"AAA" "2013J" 2080474 "F" "South Region" "A Level or Equivalent" "90-100%" "35-55" 0 60 "N" "Pass" NA 67.2 NA 1146
"AAA" "2013J" 2083877 "F" "West Midlands Region" "A Level or Equivalent" "0-10%" "0-35" 0 120 "N" "Pass" NA 68.1 NA 685
"AAA" "2013J" 2084066 "F" "South West Region" "Lower Than A Level" "50-60%" "35-55" 0 60 "N" "Fail" NA 41.3 NA 1967
"AAA" "2013J" 2104505 "M" "West Midlands Region" "Lower Than A Level" "0-10%" "35-55" 0 60 "N" "Pass" NA 64.1 NA 701
"AAA" "2013J" 2122180 "F" "North Western Region" "Lower Than A Level" "80-90%" "35-55" 0 60 "N" "Distinction" NA 82.3 NA 4712
"AAA" "2013J" 2143752 "F" "South Region" "Lower Than A Level" "70-80%" "35-55" 0 60 "N" "Pass" NA 52.9 NA 1888
"AAA" "2013J" 2146792 "M" "North Western Region" "HE Qualification" "20-30%" "55<=" 0 60 "N" "Pass" NA 70 NA 2385
"AAA" "2013J" 2153153 "F" "Yorkshire Region" "A Level or Equivalent" "40-50%" "0-35" 0 60 "N" "Pass" NA 61.8 NA 3385
"AAA" "2013J" 2155014 "F" "West Midlands Region" "Lower Than A Level" "80-90%" "0-35" 0 60 "Y" "Pass" NA 73.9 NA 1454
"AAA" "2013J" 2164705 "F" "North Western Region" "A Level or Equivalent" "40-50%" "0-35" 0 120 "N" "Fail" NA 7 NA 231
"AAA" "2013J" 2171627 "F" "Yorkshire Region" "A Level or Equivalent" "30-40%" "35-55" 0 60 "N" "Pass" NA 68.4 NA 1346
"AAA" "2013J" 2182846 "F" "London Region" "A Level or Equivalent" "70-80%" "35-55" 0 60 "N" "Pass" NA 66.3 NA 4214
"AAA" "2013J" 2194100 "F" "East Anglian Region" "A Level or Equivalent" "50-60%" "35-55" 0 60 "N" "Pass" NA 67.3 NA 1401
"AAA" "2013J" 2197016 "F" "North Western Region" "HE Qualification" "30-40%" "35-55" 0 60 "N" "Pass" NA 75.7 NA 1455
"AAA" "2013J" 2208424 "M" "Scotland" "A Level or Equivalent" "20-30%" "0-35" 0 60 "N" "Pass" NA 69.9 NA 1080
"AAA" "2013J" 2229865 "F" "West Midlands Region" "A Level or Equivalent" "10-20" "35-55" 0 60 "N" "Pass" NA 77.1 NA 3236
"AAA" "2013J" 2268379 "F" "East Midlands Region" "A Level or Equivalent" "20-30%" "0-35" 0 60 "N" "Pass" NA 83.6 NA 1685
"AAA" "2013J" 227499 "F" "London Region" "A Level or Equivalent" "10-20" "35-55" 0 60 "N" "Distinction" NA 83.5 NA 2953
"AAA" "2013J" 227517 "M" "Ireland" "HE Qualification" "" "0-35" 0 180 "N" "Fail" NA 61.7 NA 1205
"AAA" "2013J" 2278464 "M" "South Region" "Lower Than A Level" "30-40%" "35-55" 0 60 "N" "Pass" NA 48.9 NA 307
"AAA" "2013J" 228082 "M" "London Region" "HE Qualification" "60-70%" "0-35" 0 60 "N" "Pass" NA 74.8 NA 227
"AAA" "2013J" 228222 "M" "East Midlands Region" "Lower Than A Level" "50-60%" "0-35" 0 60 "N" "Pass" NA 60.7 NA 445
"AAA" "2013J" 229179 "M" "West Midlands Region" "A Level or Equivalent" "20-30%" "0-35" 0 60 "N" "Pass" NA 65.1 NA 614
"AAA" "2013J" 229361 "M" "East Midlands Region" "A Level or Equivalent" "50-60%" "0-35" 0 60 "N" "Pass" NA 77.5 NA 1215
"AAA" "2013J" 2293923 "M" "South Region" "A Level or Equivalent" "90-100%" "0-35" 0 150 "N" "Pass" NA 60.5 NA 303
"AAA" "2013J" 231554 "M" "London Region" "A Level or Equivalent" "40-50%" "0-35" 0 240 "N" "Pass" NA 52.8 NA 1839
"AAA" "2013J" 2329342 "F" "East Anglian Region" "Lower Than A Level" "40-50%" "35-55" 0 120 "N" "Pass" NA 58.8 NA 565
"AAA" "2013J" 2339528 "F" "London Region" "Lower Than A Level" "40-50%" "0-35" 0 60 "N" "Distinction" NA 80.5 NA 593
"AAA" "2013J" 2342426 "M" "Yorkshire Region" "Lower Than A Level" "20-30%" "35-55" 0 60 "N" "Fail" NA 74.2 NA 1814
"AAA" "2013J" 2344901 "F" "Yorkshire Region" "A Level or Equivalent" "60-70%" "0-35" 0 60 "N" "Fail" NA 34.5 NA 445
"AAA" "2013J" 2358056 "F" "North Region" "HE Qualification" "" "0-35" 0 60 "N" "Fail" NA 69.8 NA 1588
"AAA" "2013J" 236284 "M" "Scotland" "Post Graduate Qualification" "90-100%" "0-35" 0 60 "N" "Pass" NA 75.5 NA 732
"AAA" "2013J" 2364471 "F" "Scotland" "HE Qualification" "90-100%" "0-35" 0 60 "Y" "Pass" NA 81.6 NA 7182
"AAA" "2013J" 2367155 "F" "East Anglian Region" "A Level or Equivalent" "80-90%" "0-35" 0 120 "N" "Pass" NA 75.7 NA 2148
"AAA" "2013J" 2369266 "F" "London Region" "Lower Than A Level" "70-80%" "35-55" 0 60 "N" "Pass" NA 51.2 NA 2146
"AAA" "2013J" 2376496 "F" "East Midlands Region" "A Level or Equivalent" "20-30%" "0-35" 0 120 "N" "Pass" NA 75.5 NA 749
"AAA" "2013J" 238007 "M" "South Region" "HE Qualification" "90-100%" "55<=" 0 60 "N" "Pass" NA 79.5 NA 1935
"AAA" "2013J" 240712 "M" "London Region" "HE Qualification" "80-90%" "0-35" 0 80 "N" "Pass" NA 74.2 NA 321
"AAA" "2013J" 240884 "M" "South Region" "A Level or Equivalent" "90-100%" "0-35" 0 120 "N" "Pass" NA 56.4 NA 427
"AAA" "2013J" 2411661 "F" "South Region" "A Level or Equivalent" "80-90%" "0-35" 0 120 "N" "Fail" NA 45.3 NA 574
"AAA" "2013J" 2412002 "M" "South West Region" "Lower Than A Level" "50-60%" "35-55" 0 90 "N" "Distinction" NA 83.1 NA 3344
"AAA" "2013J" 2412967 "F" "South Region" "A Level or Equivalent" "80-90%" "35-55" 0 60 "N" "Pass" NA 77.5 NA 2458
"AAA" "2013J" 241649 "M" "East Anglian Region" "HE Qualification" "90-100%" "35-55" 0 60 "N" "Pass" NA 78.8 NA 1892
"AAA" "2013J" 241729 "F" "East Midlands Region" "HE Qualification" "60-70%" "35-55" 0 60 "N" "Fail" NA 59.6 NA 1829
"AAA" "2013J" 242793 "M" "London Region" "HE Qualification" "20-30%" "35-55" 0 60 "N" "Pass" NA 79.2 NA 658
"AAA" "2013J" 2437837 "F" "North Region" "A Level or Equivalent" "30-40%" "0-35" 0 60 "N" "Pass" NA 74.9 NA 2684
"AAA" "2013J" 2449878 "F" "East Midlands Region" "A Level or Equivalent" "30-40%" "0-35" 0 60 "N" "Pass" NA 60.5 NA 622
"AAA" "2013J" 2456480 "M" "Scotland" "Lower Than A Level" "80-90%" "35-55" 0 120 "N" "Fail" NA 10.8 NA 183
"AAA" "2013J" 2457256 "M" "South Region" "Lower Than A Level" "80-90%" "35-55" 0 180 "N" "Pass" NA 70.5 NA 1611
"AAA" "2013J" 2458355 "M" "London Region" "Lower Than A Level" "80-90%" "35-55" 0 60 "N" "Pass" NA 91 NA 4187
"AAA" "2013J" 2460080 "M" "Scotland" "HE Qualification" "90-100%" "55<=" 0 60 "N" "Pass" NA 77.1 NA 3424
"AAA" "2013J" 2461190 "M" "South Region" "HE Qualification" "70-80%" "55<=" 0 60 "N" "Fail" NA 16.2 NA 967
"AAA" "2013J" 246834 "M" "South West Region" "A Level or Equivalent" "90-100%" "35-55" 0 60 "N" "Pass" NA 54.8 NA 1174
"AAA" "2013J" 2469673 "F" "Yorkshire Region" "Lower Than A Level" "20-30%" "35-55" 0 60 "N" "Fail" NA 40.1 NA 523
"AAA" "2013J" 2479954 "M" "North Western Region" "A Level or Equivalent" "40-50%" "0-35" 0 60 "N" "Pass" NA 79.7 NA 323
"AAA" "2013J" 2481901 "M" "Wales" "Lower Than A Level" "80-90%" "35-55" 0 60 "N" "Pass" NA 74.8 NA 1949
"AAA" "2013J" 248270 "M" "North Western Region" "Lower Than A Level" "20-30%" "0-35" 0 90 "N" "Pass" NA 78.9 NA 1969
"AAA" "2013J" 2482700 "M" "South Region" "Lower Than A Level" "90-100%" "0-35" 0 120 "N" "Pass" NA 55.8 NA 1616
"AAA" "2013J" 2486127 "F" "East Anglian Region" "HE Qualification" "90-100%" "0-35" 0 120 "N" "Pass" NA 74.4 NA 1690
"AAA" "2013J" 2498700 "F" "North Western Region" "Lower Than A Level" "40-50%" "0-35" 0 240 "N" "Pass" NA 77.9 NA 2864
"AAA" "2013J" 2516503 "M" "South East Region" "HE Qualification" "40-50%" "35-55" 0 60 "N" "Pass" NA 79.2 NA 3070
"AAA" "2013J" 2518069 "M" "East Midlands Region" "A Level or Equivalent" "90-100%" "0-35" 0 60 "N" "Pass" NA 76.7 NA 1617
"AAA" "2013J" 2521459 "F" "London Region" "Lower Than A Level" "10-20" "0-35" 0 60 "N" "Pass" NA 61.5 NA 1078
"AAA" "2013J" 2523736 "M" "North Western Region" "A Level or Equivalent" "20-30%" "55<=" 0 120 "N" "Pass" NA 43.6 NA 470
"AAA" "2013J" 2529279 "F" "North Western Region" "HE Qualification" "60-70%" "35-55" 0 60 "N" "Pass" NA 78.8 NA 1189
"AAA" "2013J" 2532302 "F" "East Anglian Region" "A Level or Equivalent" "80-90%" "0-35" 0 60 "N" "Pass" NA 60.3 NA 1216
"AAA" "2013J" 2536991 "M" "South Region" "HE Qualification" "90-100%" "55<=" 0 60 "N" "Distinction" NA 83.4 NA 1080
"AAA" "2013J" 2550279 "F" "North Region" "HE Qualification" "" "35-55" 0 60 "N" "Pass" NA 62.8 NA 2809
"AAA" "2013J" 2551220 "F" "South Region" "Lower Than A Level" "90-100%" "0-35" 0 60 "N" "Pass" NA 63.4 NA 1327
"AAA" "2013J" 2555340 "F" "South Region" "HE Qualification" "90-100%" "35-55" 0 60 "N" "Pass" NA 79.2 NA 4441
"AAA" "2013J" 255548 "M" "Wales" "Lower Than A Level" "20-30%" "35-55" 0 60 "N" "Pass" NA 68.4 NA 2580
"AAA" "2013J" 2557283 "M" "Yorkshire Region" "HE Qualification" "80-90%" "55<=" 0 60 "N" "Pass" NA 81.6 NA 7262
"AAA" "2013J" 2559575 "M" "South West Region" "Lower Than A Level" "30-40%" "0-35" 0 60 "N" "Pass" NA 73.1 NA 650
"AAA" "2013J" 2562034 "M" "East Anglian Region" "A Level or Equivalent" "70-80%" "0-35" 0 60 "N" "Pass" NA 65.4 NA 248
"AAA" "2013J" 2566163 "F" "South Region" "A Level or Equivalent" "80-90%" "0-35" 0 60 "N" "Pass" NA 70.9 NA 1591
"AAA" "2013J" 2566592 "F" "South Region" "A Level or Equivalent" "90-100%" "35-55" 0 60 "N" "Pass" NA 71.8 NA 1359
"AAA" "2013J" 256815 "M" "North Western Region" "HE Qualification" "10-20" "0-35" 0 120 "N" "Pass" NA 77.7 NA 1481
"AAA" "2013J" 2574528 "M" "Ireland" "HE Qualification" "" "35-55" 0 60 "N" "Pass" NA 77.3 NA 988
"AAA" "2013J" 2574583 "M" "Yorkshire Region" "Lower Than A Level" "70-80%" "35-55" 0 60 "N" "Pass" NA 71.9 NA 1890
"AAA" "2013J" 2578995 "F" "West Midlands Region" "A Level or Equivalent" "10-20" "0-35" 0 60 "Y" "Pass" NA 80.1 NA 1326
"AAA" "2013J" 258392 "F" "West Midlands Region" "Lower Than A Level" "30-40%" "0-35" 0 60 "N" "Pass" NA 59.1 NA 844
"AAA" "2013J" 2586560 "F" "East Anglian Region" "Lower Than A Level" "80-90%" "35-55" 0 60 "N" "Pass" NA 72.8 NA 2905
"AAA" "2013J" 258894 "F" "East Anglian Region" "Lower Than A Level" "70-80%" "35-55" 0 60 "N" "Pass" NA 64.4 NA 4963
"AAA" "2013J" 2594139 "F" "South West Region" "A Level or Equivalent" "50-60%" "0-35" 0 60 "N" "Pass" NA 73.5 NA 1868
"AAA" "2013J" 2598871 "F" "East Anglian Region" "A Level or Equivalent" "80-90%" "35-55" 0 60 "N" "Pass" NA 74 NA 2049
"AAA" "2013J" 2599352 "F" "Scotland" "A Level or Equivalent" "30-40%" "0-35" 0 120 "N" "Pass" NA 75.7 NA 1160
"AAA" "2013J" 2600688 "M" "West Midlands Region" "A Level or Equivalent" "20-30%" "0-35" 0 60 "N" "Pass" NA 70.1 NA 582
"AAA" "2013J" 2606098 "F" "East Midlands Region" "A Level or Equivalent" "90-100%" "0-35" 0 60 "N" "Pass" NA 72.2 NA 491
"AAA" "2013J" 2613116 "F" "London Region" "Lower Than A Level" "10-20" "35-55" 0 60 "N" "Pass" NA 79.8 NA 1181
"AAA" "2013J" 2617002 "F" "Yorkshire Region" "A Level or Equivalent" "80-90%" "0-35" 0 60 "N" "Pass" NA 65.2 NA 1473
"AAA" "2013J" 262011 "M" "East Midlands Region" "A Level or Equivalent" "20-30%" "35-55" 0 60 "N" "Pass" NA 72.1 NA 1066
"AAA" "2013J" 2620584 "M" "West Midlands Region" "A Level or Equivalent" "40-50%" "0-35" 0 60 "Y" "Fail" NA NA NA 92
"AAA" "2013J" 262934 "F" "North Western Region" "A Level or Equivalent" "30-40%" "35-55" 0 60 "N" "Pass" NA 76 NA 2407
"AAA" "2013J" 2639449 "M" "East Midlands Region" "A Level or Equivalent" "10-20" "0-35" 0 120 "N" "Pass" NA 42.1 NA 797
"AAA" "2013J" 2639540 "F" "North Western Region" "A Level or Equivalent" "90-100%" "35-55" 0 60 "N" "Pass" NA 79.9 NA 1964
"AAA" "2013J" 2639641 "M" "South East Region" "Lower Than A Level" "30-40%" "35-55" 0 120 "N" "Pass" NA 66.5 NA 2042
"AAA" "2013J" 2641155 "M" "East Midlands Region" "Lower Than A Level" "50-60%" "35-55" 0 60 "N" "Pass" NA 79.2 NA 4109
"AAA" "2013J" 2643002 "F" "South West Region" "A Level or Equivalent" "80-90%" "35-55" 0 60 "N" "Pass" NA 48.8 NA 2434
"AAA" "2013J" 2645733 "F" "South West Region" "A Level or Equivalent" "40-50%" "0-35" 0 180 "N" "Pass" NA 81.2 NA 1596
"AAA" "2013J" 2649826 "M" "East Anglian Region" "Lower Than A Level" "60-70%" "35-55" 0 60 "N" "Distinction" NA 84.7 NA 5974
"AAA" "2013J" 2650282 "M" "London Region" "A Level or Equivalent" "0-10%" "35-55" 0 60 "N" "Pass" NA 84.3 NA 641
"AAA" "2013J" 2664024 "M" "South East Region" "HE Qualification" "90-100%" "35-55" 0 60 "N" "Pass" NA 66.2 NA 808
"AAA" "2013J" 2666246 "M" "North Western Region" "A Level or Equivalent" "90-100%" "0-35" 0 60 "N" "Pass" NA 76.2 NA 612
"AAA" "2013J" 2669816 "M" "Yorkshire Region" "A Level or Equivalent" "90-100%" "0-35" 0 60 "N" "Fail" NA 54 NA 280
"AAA" "2013J" 2671132 "M" "London Region" "HE Qualification" "20-30%" "55<=" 0 60 "N" "Pass" NA 69.8 NA 3720
"AAA" "2013J" 2676809 "F" "North Region" "HE Qualification" "10-20" "0-35" 0 150 "N" "Fail" NA 21.4 NA 309
"AAA" "2013J" 2678643 "F" "South Region" "A Level or Equivalent" "80-90%" "0-35" 0 60 "N" "Pass" NA 69.7 NA 2287
"AAA" "2013J" 268073 "M" "East Anglian Region" "A Level or Equivalent" "10-20" "35-55" 0 90 "N" "Fail" NA 75.5 NA 3210
"AAA" "2013J" 2685865 "F" "East Midlands Region" "Lower Than A Level" "30-40%" "0-35" 0 60 "N" "Pass" NA 78.9 NA 2815
"AAA" "2013J" 2688067 "M" "East Anglian Region" "A Level or Equivalent" "10-20" "0-35" 0 60 "N" "Pass" NA 68.4 NA 289
"AAA" "2013J" 2689958 "M" "East Anglian Region" "A Level or Equivalent" "40-50%" "35-55" 0 60 "N" "Distinction" NA 81.2 NA 3929
"AAA" "2013J" 2691206 "F" "West Midlands Region" "A Level or Equivalent" "50-60%" "0-35" 0 60 "N" "Distinction" NA 84.7 NA 2297
"AAA" "2013J" 2691244 "M" "South Region" "A Level or Equivalent" "40-50%" "35-55" 0 180 "N" "Pass" NA 52.8 NA 472
